"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan editor post test","Editor should be able to POST","SUCCESS","2022-12-07T18:06:36.09855Z[Europe/London]","0.0","11.86"
"Spartan editor post test","New Spartan 1 - name","SUCCESS","2022-12-07T18:06:48.2495738Z[Europe/London]","0.0","3.87"
"Spartan editor post test","New Spartan 2 - name","FAILURE","2022-12-07T18:06:52.1346396Z[Europe/London]","0.0","1.0"
"Spartan editor post test","New Spartan 3 - name","SUCCESS","2022-12-07T18:06:53.2958165Z[Europe/London]","0.0","0.92"
"Spartan editor post test","New Spartan 4 - name","SUCCESS","2022-12-07T18:06:54.2277961Z[Europe/London]","0.0","0.99"
"Spartan editor post test","New Spartan 5 - name","SUCCESS","2022-12-07T18:06:55.227302Z[Europe/London]","0.0","0.95"
"Spartan editor post test","New Spartan 6 - name","SUCCESS","2022-12-07T18:06:56.1796369Z[Europe/London]","0.0","1.1"
"Spartan editor post test","New Spartan 7 - name","FAILURE","2022-12-07T18:06:57.2939059Z[Europe/London]","0.0","1.09"
"Spartan editor post test","New Spartan 8 - name","FAILURE","2022-12-07T18:06:58.411232Z[Europe/London]","0.0","0.96"
"Spartan editor post test","New Spartan 9 - name","SUCCESS","2022-12-07T18:06:59.3945241Z[Europe/London]","0.0","0.86"
"Spartan editor post test","New Spartan 10 - name","SUCCESS","2022-12-07T18:07:00.2637336Z[Europe/London]","0.0","1.02"
